year,temperature_anomaly,temp_ma_3,temp_ma_5,temp_ma_10,temp_growth_rate,warming_acceleration,climate_severity_index
1923,-0.27,-0.24666666666666667,-0.26,-0.271,-3.57142857142857,-50.93984962406016,12.359550561797752
1924,-0.27,-0.2733333333333334,-0.258,-0.28300000000000003,0.0,3.57142857142857,12.359550561797752
1925,-0.22,-0.25333333333333335,-0.246,-0.29100000000000004,-18.518518518518523,-18.518518518518523,15.168539325842698
1926,-0.11,-0.19999999999999998,-0.23000000000000004,-0.266,-50.0,-31.481481481481477,21.34831460674157
1927,-0.22,-0.18333333333333335,-0.21800000000000003,-0.242,100.0,150.0,15.168539325842698
1928,-0.2,-0.17666666666666667,-0.20400000000000001,-0.23200000000000004,-9.090909090909083,-109.09090909090908,16.29213483146067
1929,-0.36,-0.26,-0.22200000000000003,-0.24,79.99999999999999,89.09090909090907,7.303370786516854
1930,-0.16,-0.24,-0.21000000000000002,-0.22800000000000004,-55.55555555555556,-135.55555555555554,18.539325842696627
1931,-0.09,-0.20333333333333337,-0.20600000000000002,-0.21799999999999997,-43.75,11.805555555555557,22.471910112359552
1932,-0.16,-0.1366666666666667,-0.194,-0.20600000000000002,77.77777777777779,121.52777777777779,18.539325842696627
1933,-0.29,-0.17999999999999997,-0.21200000000000002,-0.20800000000000002,81.24999999999997,3.472222222222186,11.235955056179776
1934,-0.13,-0.19333333333333333,-0.16599999999999998,-0.194,-55.172413793103445,-136.42241379310343,20.224719101123593
1935,-0.2,-0.20666666666666664,-0.17400000000000002,-0.192,53.846153846153854,109.0185676392573,16.29213483146067
1936,-0.15,-0.16,-0.186,-0.196,-25.00000000000001,-78.84615384615387,19.101123595505616
1937,-0.03,-0.12666666666666668,-0.16,-0.177,-80.0,-54.999999999999986,25.842696629213478
1938,0.0,-0.06,-0.10200000000000001,-0.157,-100.0,-20.0,27.52808988764045
1939,-0.02,-0.016666666666666666,-0.08,-0.123,-inf,-inf,26.40449438202247
1940,0.12,0.03333333333333333,-0.016,-0.095,-700.0,inf,34.26966292134831
1941,0.18,0.09333333333333332,0.05,-0.06800000000000002,50.0,750.0,37.640449438202246
1942,0.06,0.12,0.068,-0.046000000000000006,-66.66666666666667,-116.66666666666667,30.898876404494384
1943,0.09,0.10999999999999999,0.086,-0.008000000000000004,50.0,116.66666666666667,32.58426966292134
1944,0.2,0.11666666666666665,0.13,0.024999999999999998,122.22222222222223,72.22222222222223,38.76404494382022
1945,0.09,0.12666666666666668,0.124,0.05399999999999999,-55.00000000000001,-177.22222222222223,32.58426966292134
1946,-0.07,0.07333333333333335,0.074,0.062,-177.7777777777778,-122.7777777777778,23.595505617977526
1947,-0.03,-0.003333333333333336,0.05600000000000001,0.062,-57.14285714285715,120.63492063492065,25.842696629213478
1948,-0.11,-0.07,0.016,0.051000000000000004,266.6666666666667,323.80952380952385,21.34831460674157
1949,-0.11,-0.08333333333333333,-0.046,0.042,0.0,-266.6666666666667,21.34831460674157
1950,-0.18,-0.13333333333333333,-0.1,0.011999999999999997,63.636363636363626,63.636363636363626,17.415730337078653
1951,-0.07,-0.12,-0.1,-0.013000000000000003,-61.11111111111111,-124.74747474747474,23.595505617977526
1952,0.01,-0.08,-0.092,-0.018000000000000002,-114.28571428571428,-53.17460317460317,28.08988764044944
1953,0.08,0.006666666666666664,-0.054000000000000006,-0.019000000000000003,700.0,814.2857142857142,32.02247191011235
1954,-0.13,-0.013333333333333336,-0.05800000000000001,-0.052000000000000005,-262.5,-962.5,20.224719101123593
1955,-0.14,-0.06333333333333334,-0.05,-0.07500000000000001,7.692307692307709,270.19230769230774,19.662921348314605
1956,-0.19,-0.15333333333333335,-0.074,-0.08700000000000001,35.7142857142857,28.021978021977993,16.853932584269664
1957,0.05,-0.09333333333333334,-0.066,-0.079,-126.3157894736842,-162.0300751879699,30.337078651685395
1958,0.06,-0.02666666666666667,-0.07,-0.062,19.999999999999996,146.3157894736842,30.898876404494384
1959,0.03,0.04666666666666667,-0.038,-0.048,-50.0,-70.0,29.213483146067414
1960,-0.02,0.02333333333333333,-0.014000000000000002,-0.03200000000000001,-166.66666666666669,-116.66666666666669,26.40449438202247
1961,0.06,0.02333333333333333,0.036,-0.019000000000000006,-400.0,-233.33333333333331,30.898876404494384
1962,0.03,0.02333333333333333,0.032,-0.017000000000000008,-50.0,350.0,29.213483146067414
1963,0.05,0.04666666666666667,0.03,-0.020000000000000007,66.66666666666667,116.66666666666667,30.337078651685395
1964,-0.2,-0.04,-0.016000000000000004,-0.027000000000000007,-500.0,-566.6666666666666,16.29213483146067
1965,-0.11,-0.08666666666666667,-0.034,-0.024000000000000004,-45.00000000000001,455.0,21.34831460674157
1966,-0.06,-0.12333333333333334,-0.05800000000000001,-0.011000000000000006,-45.45454545454546,-0.45454545454545325,24.157303370786515
1967,-0.02,-0.06333333333333332,-0.068,-0.018000000000000006,-66.66666666666666,-21.212121212121197,26.40449438202247
1968,-0.08,-0.05333333333333332,-0.094,-0.03200000000000001,300.0,366.66666666666663,23.033707865168537
1969,0.05,-0.01666666666666666,-0.044000000000000004,-0.03000000000000001,-162.5,-462.5,30.337078651685395
1970,0.03,8.0953762212251e-18,-0.016000000000000004,-0.025000000000000005,-40.0,122.5,29.213483146067414
1971,-0.08,9.25185853854297e-18,-0.020000000000000004,-0.03900000000000001,-366.6666666666667,-326.6666666666667,23.033707865168537
1972,0.01,-0.013333333333333324,-0.014000000000000004,-0.041,-112.5,254.16666666666669,28.08988764044944
1973,0.16,0.03000000000000001,0.033999999999999996,-0.030000000000000006,1500.0,1612.5,36.51685393258427
1974,-0.07,0.03333333333333335,0.009999999999999995,-0.017000000000000005,-143.75,-1643.75,23.595505617977526
1975,-0.01,0.026666666666666682,0.0019999999999999953,-0.007000000000000004,-85.71428571428572,58.03571428571428,26.96629213483146
1976,-0.1,-0.05999999999999999,-0.0020000000000000044,-0.011000000000000005,900.0,985.7142857142858,21.910112359550563
1977,0.18,0.023333333333333345,0.031999999999999994,0.008999999999999996,-280.0,-1180.0,37.640449438202246
1978,0.07,0.05000000000000001,0.013999999999999995,0.023999999999999997,-61.11111111111111,218.88888888888889,31.460674157303377
1979,0.16,0.1366666666666667,0.06,0.034999999999999996,128.57142857142856,189.68253968253967,36.51685393258427
1980,0.26,0.16333333333333336,0.11400000000000002,0.05800000000000001,62.5,-66.07142857142856,42.13483146067416
1981,0.32,0.2466666666666667,0.198,0.098,23.076923076923084,-39.42307692307692,45.50561797752809
1982,0.14,0.24000000000000002,0.19,0.11099999999999999,-56.25,-79.32692307692308,35.39325842696629
1983,0.31,0.25666666666666665,0.238,0.126,121.4285714285714,177.6785714285714,44.943820224719104
1984,0.16,0.20333333333333337,0.23800000000000004,0.14900000000000002,-48.38709677419355,-169.81566820276495,36.51685393258427
1985,0.12,0.19666666666666668,0.21000000000000002,0.16199999999999998,-25.0,23.38709677419355,34.26966292134831
1986,0.18,0.15333333333333335,0.182,0.19,50.0,75.0,37.640449438202246
1987,0.32,0.20666666666666667,0.21799999999999997,0.20400000000000001,77.77777777777779,27.777777777777786,45.50561797752809
1988,0.39,0.2966666666666667,0.23399999999999999,0.236,21.875,-55.902777777777786,49.43820224719101
1989,0.27,0.3266666666666667,0.256,0.24699999999999997,-30.76923076923077,-52.644230769230774,42.69662921348314
1990,0.45,0.37000000000000005,0.32199999999999995,0.266,66.66666666666666,97.43589743589743,52.80898876404494
1991,0.4,0.37333333333333335,0.366,0.27399999999999997,-11.111111111111105,-77.77777777777776,50.0
1992,0.22,0.3566666666666667,0.346,0.28200000000000003,-45.00000000000001,-33.8888888888889,39.8876404494382
1993,0.23,0.2833333333333334,0.31399999999999995,0.274,4.545454545454541,49.54545454545455,40.44943820224719
1994,0.31,0.25333333333333335,0.32199999999999995,0.28900000000000003,34.78260869565217,30.237154150197632,44.943820224719104
1995,0.44,0.32666666666666666,0.31999999999999995,0.321,41.93548387096775,7.152875175315579,52.24719101123595
1996,0.33,0.36000000000000004,0.306,0.336,-25.0,-66.93548387096774,46.06741573033708
1997,0.46,0.41,0.354,0.35,39.393939393939405,64.3939393939394,53.37078651685393
1998,0.61,0.46666666666666673,0.43,0.372,32.6086956521739,-6.785243741765505,61.79775280898877
1999,0.38,0.4833333333333334,0.44399999999999995,0.383,-37.704918032786885,-70.31361368496079,48.87640449438202
2000,0.39,0.46,0.434,0.377,2.6315789473684292,40.33649698015532,49.43820224719101
2001,0.53,0.43333333333333335,0.47400000000000003,0.39,35.897435897435905,33.26585695006747,57.30337078651685
2002,0.63,0.5166666666666667,0.508,0.43099999999999994,18.867924528301884,-17.02951136913402,62.92134831460675
2003,0.61,0.59,0.508,0.46900000000000003,-3.1746031746031744,-22.04252770290506,61.79775280898877
2004,0.53,0.59,0.538,0.491,-13.114754098360649,-9.940150923757475,57.30337078651685
2005,0.68,0.6066666666666667,0.596,0.515,28.301886792452823,41.41664089081347,65.73033707865167
2006,0.64,0.6166666666666667,0.6180000000000001,0.546,-5.882352941176472,-34.1842397336293,63.48314606741572
2007,0.66,0.66,0.624,0.566,3.125,9.007352941176471,64.6067415730337
2008,0.54,0.6133333333333334,0.61,0.5589999999999999,-18.181818181818176,-21.306818181818176,57.865168539325836
2009,0.66,0.6200000000000001,0.6359999999999999,0.587,22.22222222222221,40.40404040404039,64.6067415730337
2010,0.72,0.64,0.644,0.6199999999999999,9.090909090909083,-13.131313131313128,67.97752808988764
2011,0.61,0.6633333333333333,0.638,0.628,-15.277777777777779,-24.36868686868686,61.79775280898877
2012,0.64,0.6566666666666667,0.634,0.6290000000000001,4.918032786885251,20.19581056466303,63.48314606741572
2013,0.68,0.6433333333333333,0.6619999999999999,0.636,6.25,1.3319672131147486,65.73033707865167
2014,0.75,0.6900000000000001,0.6799999999999999,0.658,10.294117647058808,4.044117647058808,69.66292134831461
2015,0.9,0.7766666666666667,0.716,0.68,19.999999999999996,9.705882352941188,78.08988764044943
2016,1.01,0.8866666666666667,0.796,0.717,12.222222222222223,-7.777777777777773,84.26966292134831
2017,0.92,0.9433333333333334,0.852,0.743,-8.910891089108908,-21.13311331133113,79.21348314606742
2018,0.85,0.9266666666666667,0.8859999999999999,0.774,-7.608695652173925,1.3021954369349835,75.28089887640449
2019,0.98,0.9166666666666666,0.932,0.806,15.294117647058814,22.90281329923274,82.58426966292134
2020,1.01,0.9466666666666667,0.954,0.835,3.0612244897959107,-12.232893157262904,84.26966292134831
2021,0.85,0.9466666666666667,0.922,0.859,-15.841584158415845,-18.902808648211757,75.28089887640449
2022,0.89,0.9166666666666666,0.916,0.884,4.705882352941182,20.547466511357026,77.52808988764043
2023,1.17,0.9699999999999999,0.9800000000000001,0.933,31.46067415730336,26.754791804362178,93.25842696629213
2024,1.29,1.1166666666666665,1.0419999999999998,0.9869999999999999,10.256410256410264,-21.204263900893096,100.0
2025,1.19,1.2166666666666666,1.0779999999999998,1.016,-7.751937984496127,-18.008348240906393,94.3820224719101
